Pe,alpha_in,alpha_out,kappa,pol,Rg_mean,Rg_std,D_long_plateau,D_log_fit_long,D_lin_fit_long,E2E_mean,E2E_std,tau_exponential,tau_stretched,beta_stretched,tau_1e,tau_half,blocks_lost_pct,frames_lost_pct,blocks_original,blocks_valid,Rg_cv
10.0,0.2,0.7,1.0,1,13.903742759863983,3.5714767758069854,0.0497316392882076,0.08289923815008608,0.061637731229302,29.378851036993712,12.09633599244442,0.004705607911393273,0.001070282104370075,0.530080120570656,0.003,0.001,0.5,0.8,402.0,398.0,0.25687160914087026
10.0,0.2,0.8,1.0,1,13.552092473829028,3.245577862967924,0.04628649862646808,0.052902905663732076,0.04370961792425118,30.127071800445076,13.310644816629344,0.0032860588071495843,0.0011212031405544148,0.6160522827430023,0.003,0.001,5.33,12.26,450.0,424.0,0.23948905818312455
10.0,0.2,0.9,1.0,1,13.697211041434892,3.2925820395852528,0.05255721087178226,0.08323023213104118,0.04684148088448834,29.449088067515525,12.469487945032562,0.0024505932909189756,0.0010135465353240793,0.6256307164616147,0.003,0.001,6.36,13.85,440.0,410.0,0.24038339116079857
10.0,0.2,1.0,1.0,1,13.938521571862335,3.660435282390457,0.05785096745573883,0.04454355774803939,0.059701324566605436,30.843646543759462,13.291157356642518,0.003386163149830909,0.0010932156829589314,0.5913594857519965,0.003,0.001,5.18,11.96,444.0,419.0,0.26261287924393434
10.0,0.3,0.1,1.0,1,9.186855541510562,1.7626036931087508,0.1897037912783555,0.25943433763171153,0.17822056617026671,20.84649168355982,8.542747985207553,0.0038229588189979814,0.0009243970934856872,0.4998622211179601,0.001,0.001,4.87,12.09,534.0,506.0,0.1918614791692841
10.0,0.3,0.2,1.0,1,8.704570918635534,1.8625216289348026,0.13047055463599447,0.45075996260204754,0.13247371588357917,19.998808083212126,8.574532722802648,0.003172042099493089,0.0010692011736621093,0.5608912407221734,0.003,0.001,0.24,20.38,420.0,417.0,0.2139705272487754
10.0,0.3,0.3,1.0,1,11.81235271385319,3.2510928185584516,0.0802989677872075,0.041094915560012775,0.10116515365577945,26.3272771965746,11.84604017898992,0.00314108807113791,0.0011146909901282396,0.5796085468756621,0.003,0.001,0.25,22.11,402.0,399.0,0.27522822060212127
10.0,0.3,0.4,1.0,1,12.247019057598814,2.9696944100611957,0.06892230904287294,0.20672157789768716,0.09911002883136882,27.47449430896053,11.647423644505597,0.00304128125839456,0.0011062670257604092,0.5848278186353096,0.003,0.001,0.25,28.4,402.0,399.0,0.2424830398396916
10.0,0.3,0.5,1.0,1,12.367789823782473,3.0023314753997763,0.09191710500971416,0.30565505325576664,0.14353743421097123,28.087442216281424,11.935753614170066,0.004213812551035843,0.0010462399290984495,0.5619662260681217,0.003,0.001,0.75,24.54,402.0,397.0,0.24275408283754013
10.0,0.3,0.6,1.0,1,12.400022661320058,2.8218779515142707,0.06584379200906103,0.03458527363155489,0.062226246203347095,26.9972255149282,10.08473196078753,0.0031005606361557366,0.0011313239658293996,0.5781135450696847,0.003,0.001,0.0,0.01,402.0,400.0,0.227570386650718
10.0,0.3,0.7,1.0,1,12.165151918701778,2.773125457675018,0.06725464436787638,0.06730732297004607,0.06809885149595425,27.710830334152046,11.177254088501678,0.0027995872017972344,0.0010761707642304144,0.6376051770690917,0.003,0.001,0.25,27.73,402.0,399.0,0.22795650035506967
10.0,0.3,0.8,1.0,1,12.215189575812017,3.076334947334342,0.05666913546182843,0.10191115305359817,0.06036423524669405,27.47943670253026,12.12755557186962,0.0032601759928038185,0.0011135622774270672,0.5471278467160892,0.003,0.001,1.35,7.82,446.0,438.0,0.2518450432751339
10.0,0.3,0.9,1.0,1,12.388436055023146,3.0533323907798664,0.0731527051278984,0.10854510953419962,0.07757736387444068,28.00848689366901,11.41851070259429,0.004748046057645367,0.0009783010393135492,0.5418579074113641,0.001,0.001,0.5,30.53,402.0,398.0,0.2464663317644385
10.0,0.3,1.0,1.0,1,12.370619863440375,2.9724424719668066,0.06789017131670974,0.04738854255807264,0.07038802213058523,27.401729090211074,11.797753606525255,0.0027069949901932394,0.0010176324391026152,0.6031747725342292,0.003,0.001,0.75,25.75,402.0,397.0,0.24028241953755622
10.0,0.4,0.1,1.0,1,9.421407945253229,1.8784761963792935,0.09784108379347535,0.24617493309313884,0.17483745907398837,21.67880186755048,9.065242440002574,0.0034164219534850828,0.0009680335305268171,0.5056086406909157,0.001,0.001,3.62,11.44,497.0,477.0,0.19938380837502348
10.0,0.4,0.2,1.0,1,9.247433100558531,1.8675968013715325,0.16128778685740475,0.07454026712551197,0.1628878737675142,20.214260728806963,8.10808261576825,0.0031864897180084173,0.0008972624840031663,0.5187136753696218,0.001,0.001,0.25,30.87,402.0,399.0,0.2019584008949178
10.0,0.4,0.3,1.0,1,9.338705359317144,1.9066249129477328,0.11825122919224447,0.04430338417645919,0.13460384102248468,21.433797480081132,8.983947600497642,0.0041637344812744705,0.0011565054998475255,0.5272490146031046,0.003,0.001,0.5,25.51,402.0,398.0,0.20416372929525076
10.0,0.4,0.4,1.0,1,10.789902648310449,2.725460277171165,0.11228778239469192,0.08256239958377949,0.10983864511614938,23.214546597258405,10.154608062091134,0.0025502953640406103,0.0008039430793616934,0.5317058596127077,0.001,0.001,3.0,14.32,400.0,388.0,0.252593592917906
10.0,0.4,0.5,1.0,1,11.481292898682064,2.6270874307688894,0.07558556698951253,0.0609996632718767,0.07495113293439583,26.124529885121497,10.864682235592817,0.003210164853816185,0.0012437080380710971,0.5929343531027879,0.003,0.001,0.5,20.56,402.0,398.0,0.22881459901353554
10.0,0.4,0.6,1.0,1,11.227182336572643,2.531072337289918,0.08260488143063086,0.045613152961073926,0.0957532988214508,25.485637759504087,10.750751542759353,0.004506030076825453,0.0010928815621135597,0.5783785880704653,0.003,0.001,0.25,20.33,402.0,399.0,0.22544145640575627
10.0,0.4,0.7,1.0,1,11.463782599081247,2.755459021341052,0.09717952646795888,0.10881501782659168,0.09204919662651095,28.241330390604666,11.624193278338032,0.0032385265619102226,0.0010500239523566523,0.549000785377223,0.003,0.001,0.25,19.89,402.0,399.0,0.24036211412120512
10.0,0.4,0.8,1.0,1,11.517498286620407,2.821020203282362,0.10208946730420332,0.05256148909900293,0.10731182623430452,27.01808829454669,11.477421074703843,0.0054792709642103275,0.0007864236005392887,0.5067120771696045,0.001,0.001,0.52,1.0,385.0,381.0,0.24493341636173468
