Pe,alpha_in,alpha_out,kappa,pol,segment_center,Rg_local,Rg_local_std,MSD_t1,MSD_t4,MSD_t16,MSD_t65,MSD_t262,MSD_t524,MSD_t1k,MSD_t5k,MSD_t10k,MSD_t50k,MSD_t100k,MSD_t300k,D_local,rho_local,rho_local_std,rho_tasep,sigma_tasep,J_tasep,Rg_chain,D_eff,sim_type,rho_exact,rho_mf,J_mf,J_mf_exact,alpha_ratio,couple
0.0,0.0,0.0,0.0,pass,55.5,1.739396,0.218326,0.02766564,0.1087955,0.3866014,1.540808,4.664706,,14.26185,40.14024,69.73829,280.9282,677.0022,,0.000934751455770386,,,0.0,0.0,0.0,17.36898485830186,0.00018847220439500254,PASSIVE,0.0,0.0,,0.0,,"α_in=0.0, α_out=0.0"
0.0,0.0,0.0,0.0,pass,65.5,1.692057,0.235542,0.02927815,0.1127105,0.4209233,1.500991,4.922493,,14.27637,48.38363,74.18786,267.6633,647.0194,,0.0008751417748931261,,,0.0,0.0,0.0,17.36898485830186,0.00018847220439500254,PASSIVE,0.0,0.0,,0.0,,"α_in=0.0, α_out=0.0"
0.0,0.0,0.0,0.0,pass,75.5,1.729135,0.245323,0.02830806,0.1136358,0.4106018,1.427254,4.814516,,13.7419,44.50081,74.90999,239.4281,572.3532,,0.0007591943614527701,,,0.0,0.0,0.0,17.36898485830186,0.00018847220439500254,PASSIVE,0.0,0.0,,0.0,,"α_in=0.0, α_out=0.0"
0.0,0.0,0.0,0.0,pass,85.5,1.708405,0.221139,0.02618242,0.1140457,0.413223,1.394248,4.52033,,13.1941,39.02202,63.77624,212.1392,527.5341,,0.0006460571132203815,,,0.0,0.0,0.0,17.36898485830186,0.00018847220439500254,PASSIVE,0.0,0.0,,0.0,,"α_in=0.0, α_out=0.0"
0.0,0.0,0.0,0.0,pass,95.5,1.725564,0.229248,0.02780069,0.108681,0.4021399,1.427704,4.526452,,12.89529,40.20955,55.3993,167.192,461.7051,,0.0004609888176402988,,,0.0,0.0,0.0,17.36898485830186,0.00018847220439500254,PASSIVE,0.0,0.0,,0.0,,"α_in=0.0, α_out=0.0"
10.0,0.0,0.0,0.0,act,105.5,1.53753,0.192194,0.4873559,6.902751,46.01256,161.8572,579.7836,,2504.903,13485.49,22270.14,35592.01,45798.49,,0.024751307785306195,,,1.0,0.0,0.0,8.685384138548663,0.4479911052819454,ACTIVE_PUR,1.0,1.0,,0.0,,"α_in=0.0, α_out=0.0"
10.0,0.0,0.0,0.0,act,115.5,1.514328,0.196955,0.4780564,6.744951,47.74706,158.4423,579.3735,,2511.149,13492.47,22279.56,35526.88,46083.2,,0.02444563579737051,,,1.0,0.0,0.0,8.685384138548663,0.4479911052819454,ACTIVE_PUR,1.0,1.0,,0.0,,"α_in=0.0, α_out=0.0"
10.0,0.0,0.0,0.0,act,125.5,1.522975,0.182172,0.4927365,6.899594,47.27015,156.211,581.9565,,2511.619,13513.64,22319.34,35499.24,46009.09,,0.0238295802919516,,,1.0,0.0,0.0,8.685384138548663,0.4479911052819454,ACTIVE_PUR,1.0,1.0,,0.0,,"α_in=0.0, α_out=0.0"
10.0,0.0,0.0,0.0,act,135.5,1.521764,0.188092,0.4798796,6.779612,45.93528,158.81,581.9755,,2525.554,13583.24,22314.01,35624.63,45961.11,,0.02379080768487225,,,1.0,0.0,0.0,8.685384138548663,0.4479911052819454,ACTIVE_PUR,1.0,1.0,,0.0,,"α_in=0.0, α_out=0.0"
10.0,0.0,0.0,0.0,act,145.5,1.52095,0.188998,0.4685769,6.621649,44.59305,160.8441,586.2742,,2521.679,13639.37,22376.67,35711.02,45966.61,,0.024167623327103583,,,1.0,0.0,0.0,8.685384138548663,0.4479911052819454,ACTIVE_PUR,1.0,1.0,,0.0,,"α_in=0.0, α_out=0.0"
