simulation_dir,Pe,alpha_in,alpha_out,kappa,pol,blocks_original,blocks_valid,blocks_eliminated,blocks_recovered,recovered_block_numbers,blocks_excluded_final,blocks_lost_pct,frames_original,frames_written,frames_lost,frames_lost_pct,last_timestep,valid_timestep,n_corrupted,n_recovered_excluded,n_incomplete,eliminated_block_numbers,timestamp
Pe_10.0_alpha_in_0.7_alpha_out_0.5_kappa_1.0_pol_1,10.0,0.7,0.5,1.0,1,402,399,1,78,"256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333",1,0.25,11047,8379,2668,24.15,420478976,419430400,1,0,0,334,2026-02-16 13:57:07.710349
Pe_10.0_alpha_in_0.7_alpha_out_0.6_kappa_1.0_pol_1,10.0,0.7,0.6,1.0,1,402,397,3,95,"256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350",1,0.75,11096,8337,2759,24.86,420478976,419430400,3,0,0,"77,114,351",2026-02-16 13:57:06.926987
Pe_10.0_alpha_in_0.7_alpha_out_0.7_kappa_1.0_pol_1,10.0,0.7,0.7,1.0,1,402,399,1,71,"256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326",1,0.25,10498,8379,2119,20.18,420478976,419430400,1,0,0,327,2026-02-16 13:57:07.656398
Pe_10.0_alpha_in_0.7_alpha_out_0.8_kappa_1.0_pol_1,10.0,0.7,0.8,1.0,1,402,399,1,71,"256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326",1,0.25,10607,8379,2228,21.0,420478976,419430400,1,0,0,327,2026-02-16 13:57:05.580927
Pe_10.0_alpha_in_0.7_alpha_out_0.9_kappa_1.0_pol_1,10.0,0.7,0.9,1.0,1,402,398,2,73,"256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328",1,0.5,10555,8358,2197,20.81,420478976,419430400,2,0,0,"40,329",2026-02-16 13:57:07.429736
Pe_10.0_alpha_in_0.7_alpha_out_1.0_kappa_1.0_pol_1,10.0,0.7,1.0,1.0,1,402,399,1,85,"256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340",1,0.25,10817,8379,2438,22.54,420478976,419430400,1,0,0,341,2026-02-16 13:57:07.813914
Pe_10.0_alpha_in_0.8_alpha_out_0.1_kappa_1.0_pol_1,10.0,0.8,0.1,1.0,1,534,502,30,0,,1,5.62,12090,10542,1548,12.8,558891008,557842432,30,0,0,"475,476,477,478,479,480,481,482,483,484,485,486,487,488,489,490,491,492,493,494,495,496,497,498,499,500,501,502,503,504",2026-02-09 22:01:35.070716
Pe_10.0_alpha_in_0.8_alpha_out_0.2_kappa_1.0_pol_1,10.0,0.8,0.2,1.0,1,402,399,1,0,,1,0.25,8411,8379,32,0.38,420478976,419430400,1,0,0,172,2026-02-16 13:57:04.743523
Pe_10.0_alpha_in_0.8_alpha_out_0.3_kappa_1.0_pol_1,10.0,0.8,0.3,1.0,1,402,398,2,126,"256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379,380,381",1,0.5,11747,8358,3389,28.85,420478976,419430400,2,0,0,"20,382",2026-02-16 13:57:08.927122
Pe_10.0_alpha_in_0.8_alpha_out_0.4_kappa_1.0_pol_1,10.0,0.8,0.4,1.0,1,402,399,1,100,"256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355",1,0.25,11150,8379,2771,24.85,420478976,419430400,1,0,0,356,2026-02-16 13:57:08.398237
Pe_10.0_alpha_in_0.8_alpha_out_0.5_kappa_1.0_pol_1,10.0,0.8,0.5,1.0,1,402,399,1,114,"256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369",1,0.25,11390,8379,3011,26.44,420478976,419430400,1,0,0,370,2026-02-16 13:57:07.567105
Pe_10.0_alpha_in_0.8_alpha_out_0.6_kappa_1.0_pol_1,10.0,0.8,0.6,1.0,1,402,398,2,121,"256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376",1,0.5,11568,8358,3210,27.75,420478976,419430400,2,0,0,"142,377",2026-02-16 13:57:07.914994
Pe_10.0_alpha_in_0.8_alpha_out_0.7_kappa_1.0_pol_1,10.0,0.8,0.7,1.0,1,402,399,1,137,"256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379,380,381,382,383,384,385,386,387,388,389,390,391,392",1,0.25,11870,8379,3491,29.41,420478976,419430400,1,0,0,393,2026-02-16 13:57:07.578290
